,id,booklet,titlepage
581,72841,BOOKLETA,3
582,71792,BOOKLETA,3
583,68225,BOOKLETA,3
584,0218,BOOKLETA,3
585,71101,BOOKLETA,3
586,RD-NP1911,BOOKLETB,3
587,0465,BOOKLETB,3
588,2516,BOOKLETB,3
589,0371,BOOKLETB,3
590,9636,BOOKLETB,3
591,2183,BOOKLETB,3
592,8295,BOOKLETB,3
593,2792,BOOKLETB,3
594,3313,BOOKLETB,3
595,RD-NP171411,BOOKLETB,3
596,1600,BOOKLETB,3
597,3401,BOOKLETB,3
598,1607,BOOKLETB,3
599,73133,BOOKLETB,3
600,74271,,3
601,71596,BOOKLETB,3
602,70441,BOOKLETB,3
603,75666,BOOKLETB,3
604,52578,BOOKLETB,3
605,75926,BOOKLETB,3
606,69371,BOOKLETB,3
607,71488,BOOKLETB,3
608,32761,BOOKLETB,3
609,71316,BOOKLETB,3
610,76486,BOOKLETB,3
611,74440,BOOKLETB,3
612,68082,BOOKLETB,3
613,75623,BOOKLETA,3
614,67145,BOOKLETA,3
615,75068,BOOKLETA,3
616,65849,BOOKLETA,3
617,74156,BOOKLETA,3
618,67844,BOOKLETA,3
619,76332,BOOKLETA,3
620,75563,BOOKLETA,3
621,75269,BOOKLETA,3
622,76542,BOOKLETA,3
623,78319,BOOKLETA,3
624,772207,BOOKLETB,3
625,54313,BOOKLETB,3
626,5184,BOOKLETB,3
627,49588,BOOKLETB,3
628,78295,BOOKLETB,3
629,78726,BOOKLETB,3
630,14011,BOOKLETB,3
631,74872-UM score sheet dup 78295,BOOKLETB,3
632,75760,BOOKLETB,3
633,78483,BOOKLETB,3
634,78470,BOOKLETA,3
635,71682,BOOKLETA,3
636,73697,BOOKLETA,3
637,79811,BOOKLETA,3
638,71369,BOOKLETA,3
639,78380,BOOKLETA,3
640,75689,BOOKLETA,3
641,72441,BOOKLETA,3
642,78555,BOOKLETA,3
643,75273,BOOKLETA,3
644,41315,BOOKLETA,3
645,77577,BOOKLETA,3
646,64533,BOOKLETA,3
647,71277,BOOKLETA,3
648,73297,BOOKLETB,3
649,79033,BOOKLETB,3
650,73737,BOOKLETB,3
651,67081,BOOKLETB,3
652,70689,BOOKLETB,3
653,72516,BOOKLETB,3
654,70737,BOOKLETB,3
655,76355,BOOKLETB,3
656,77978,BOOKLETB,3
657,66910,BOOKLETB,3
658,73110,BOOKLETB,3
659,67801,BOOKLETA,3
660,71650,BOOKLETA,3
661,71596,BOOKLETA,3
662,19836,BOOKLETA,3
